iso,uptime_s,rss_kb,anon_kb,file_kb,swap_kb,threads,host_avail_mb
2026-09-03T19:17:59Z,220541,651020,126832,524188,0,17,3792
2026-09-03T19:18:59Z,220601,653916,126832,527084,0,17,3795
2026-09-03T19:20:00Z,220662,656824,126832,529992,0,17,3769
2026-09-03T19:21:00Z,220722,659728,126832,532896,0,17,3797
2026-09-03T19:22:00Z,220782,646240,126832,519408,0,17,3783
2026-09-03T19:23:00Z,220842,649140,126832,522308,0,17,3776
2026-09-03T19:24:00Z,220902,652036,126832,525204,0,17,3795
2026-09-03T19:25:00Z,220962,654936,126832,528104,0,17,3796
2026-09-03T19:26:00Z,221022,657836,126832,531004,0,17,3745
2026-09-03T19:27:00Z,221082,660732,126832,533900,0,17,3734
2026-09-03T19:28:00Z,221142,663628,126832,536796,0,17,3725
2026-09-03T19:29:00Z,221202,666524,126832,539692,0,17,3755
2026-09-03T19:30:00Z,221262,653040,126832,526208,0,17,3749
2026-09-03T19:31:00Z,221322,655940,126832,529108,0,17,3766
2026-09-03T19:32:00Z,221382,658836,126832,532004,0,17,3774
2026-09-03T19:33:00Z,221442,661728,126832,534896,0,17,3758
2026-09-03T19:34:00Z,221502,648244,126832,521412,0,17,3776
2026-09-03T19:35:00Z,221562,651140,126832,524308,0,17,3822
2026-09-03T19:36:01Z,221623,654036,126832,527204,0,17,3827
2026-09-03T19:37:01Z,221683,656932,126832,530100,0,17,3806
2026-09-03T19:38:01Z,221743,659832,126832,533004,0,17,3783
2026-09-03T19:39:01Z,221803,662736,126832,535904,0,17,3786
2026-09-03T19:40:01Z,221863,665636,126832,538804,0,17,3782
2026-09-03T19:41:01Z,221923,652156,126832,525324,0,17,3818
2026-09-03T19:42:01Z,221983,655052,126832,528220,0,17,3789
2026-09-03T19:43:01Z,222043,657952,126832,531120,0,17,3766
2026-09-03T19:44:01Z,222103,660852,126832,534020,0,17,3766
2026-09-03T19:45:01Z,222163,647368,126832,520536,0,17,3796
2026-09-03T19:46:01Z,222223,650272,126832,523440,0,17,3810
2026-09-03T19:47:01Z,222283,653176,126832,526344,0,17,3789
2026-09-03T19:48:01Z,222343,656072,126832,529240,0,17,3777
2026-09-03T19:49:01Z,222403,658972,126832,532140,0,17,3780
2026-09-03T19:50:01Z,222463,661876,126832,535044,0,17,3794
2026-09-03T19:51:01Z,222523,664780,126832,537948,0,17,3812
2026-09-03T19:52:01Z,222583,651292,126832,524460,0,17,3796
2026-09-03T19:53:02Z,222644,654196,126832,527364,0,17,3783
2026-09-03T19:54:02Z,222704,657100,126832,530268,0,17,3776
2026-09-03T19:55:02Z,222764,660004,126832,533172,0,17,3805
2026-09-03T19:56:02Z,222824,646520,126832,519688,0,17,3816
2026-09-03T19:57:02Z,222884,649424,126832,522592,0,17,3791
2026-09-03T19:58:02Z,222944,652328,126832,525496,0,17,3775
2026-09-03T19:59:02Z,223004,655236,126832,528404,0,17,3777
2026-09-03T20:00:02Z,223064,658136,126832,531304,0,17,3782
2026-09-03T20:01:02Z,223124,661040,126832,534208,0,17,3809
2026-09-03T20:02:02Z,223184,663944,126832,537112,0,17,3772
2026-09-03T20:03:02Z,223244,666848,126832,540016,0,17,3751
2026-09-03T20:04:02Z,223304,653372,126832,526540,0,17,3758
